,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model) ,Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Pets,,,[![LOGO](https://s3.amazonaws.com/media.wishpond.com/media/003/808/913/original.png?1422458979)](URL),,,[![LOGO](http://cdn2.content.compendiumblog.com/uploads/user/e9134729-1e32-474e-ba06-8360c93e7722/6e07160a-0799-4b0c-9dc3-fff6c0e2d486/Image/0031df8d29ee5424722fa74cdfa08ecd/dogvacay.jpg)](URL),[![LOGO](http://www.animalhavenshelter.org/wp-content/uploads/2015/12/barkbox-logo-blue-default.png)](URL),[![LOGO](http://www.radiopetlady.com/wp-content/uploads/2016/09/logo-545x175-1.png)](URL),,,,,,,,,,,,,,,,,,,,,,
Finance,[![Wealthfront](http://www.thesimpledollar.com/wp-content/uploads/2014/12/wealthfront-logo.png)](https://www.wealthfront.com/),,,,[![LOGO](https://creditkarmacdn-a.akamaihd.net/ckfiles.com/assets/69657661538/res/images/logos/ck-logo-upswing.svg)](URL),[![LOGO](https://upload.wikimedia.org/wikipedia/en/c/c1/LendingClub_logo.jpg)](URL),,,,,,,,,,[![LOGO](http://howardlindzon.com/wp-content/uploads/2016/01/robinhood-logo-green.png)](URL),[![Chain](http://ec2-50-19-249-57.compute-1.amazonaws.com/system/companies/138-logo-whiteBG.png?1401492784)](https://chain.com/),,,,,,"[![Stripe](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Stripe_logo,_revised_2014.png/1280px-Stripe_logo,_revised_2014.png)](https://stripe.com/)",,,,,[![Lemonade](http://cdn.crowdfundinsider.com/wp-content/uploads/2015/12/lemonade.png)](https://www.lemonade.com/),[![Nubank](https://www.kaszek.com/wp-content/uploads/2016/03/1nulogo_whitebg.png)](https://www.nubank.com.br/),
Fitness,,,[![LOGO](http://www.mamachallenge.com/wp-content/uploads/2015/01/CDWN11-e1422601940511.png)](URL),,,,,,[![LOGO](http://blog.aaptiv.com/wp-content/uploads/2016/11/logo@2x-1.jpg)](URL),[![LOGO](https://3dprint.com/wp-content/uploads/2016/04/624x624xNaked-Labs_logo_stacked_120pxl-624x624.jpeg.pagespeed.ic_.1sGT-CxU0G.jpg)](URL),,,[![LOGO](https://www.filepicker.io/api/file/6kEsU0I7QQGudofNGS6l)](URL),,,,,,,,,,,,,,[![Fitbit](http://comolivingmag.com/wp-content/uploads/2015/09/Fitbit-logo-on-white.jpg)](https://www.fitbit.com/),,,
CPG,,,[![LOGO](https://upload.wikimedia.org/wikipedia/en/6/69/Dollar_shave_club_logo.png)](URL),,,,,[![LOGO](https://cdn.shopify.com/s/files/1/1516/5228/t/2/assets/full_logo_red.svg?13844067261394532726)](URL),,,,,,,,,,[![Harry's](https://cdn.shopify.com/s/files/1/0116/6732/files/harrys-logo_9051.jpg?5697)](https://www.harrys.com/),,,,,,,,,,,,
Productivity,[![Evernote](https://evernote.com/media/img/logos/evernote_logo_center_4c-lrg.png)](https://evernote.com/),,,,,,,,,[![LOGO](https://cfl.dropboxstatic.com/static/images/brand/logotype-vflHjIsop.svg)](URL),,,[![LOGO](https://brandfolder.com/slack/logo/slack-primary-logo.png)](URL),,,[![LOGO](https://upload.wikimedia.org/wikipedia/en/7/72/Quip_company_logo.png)](URL),,,[![Ozlo](https://s3.amazonaws.com/owler-image/logo/ozlo_owler_20160607_023713_original.png)](https://www.ozlo.ai/),,,[![IFTTT](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/IFTTT_Logo.svg/2000px-IFTTT_Logo.svg.png)](https://ifttt.com/),,,,,[![53](http://www.fiftythree.com/assets/images/logos/53-dark.svg)](http://www.fiftythree.com/),,,
Photos,,,,,,[![LOGO](https://accounts.shutterstock.com/assets/images/ss-logo-color-2x.png)](URL),,,,,,,,,,[![LOGO](https://cdn3.tnwcdn.com/wp-content/blogs.dir/1/files/2013/05/Screen-Shot-2013-05-02-at-2.27.45-PM-730x300.png)](URL),,,[![Prisma](https://cdn.xtremerain.com/wp-content/uploads/2016/08/prisma-logo-HD.jpg)](http://prisma-ai.com/),,,,,,,,,,,
Mental Health,,,[![LOGO](http://dl1.cbsistatic.com/i/2016/08/12/313e5483-a504-4bcb-a0d4-98de152527af/2c43526601bbce217ef119c9b115730c/imgingest-7118995974045370538.png)](URL),,,,,,[![LOGO](http://simuddell.com/wp-content/uploads/2014/05/headspace.png)](URL),,,,,,,,,,,,,,,,,,,,,[![Joyable](https://daks2k3a4ib2z.cloudfront.net/572a4404d6c4eb236f23595a/572a68ed6e747aa53d8ecf5f_BARREL_Joyable-small-sec-3.png)](https://joyable.com/)
Healthcare,,,,,,[![LOGO](http://www.underconsideration.com/brandnew/archives/zocdoc_logo.png)](URL),,,,,,,,,,,,,,[![Oscar](https://upload.wikimedia.org/wikipedia/en/7/71/Oscar_Health_logo.svg)](https://www.hioscar.com/),,,,"[![Forward](https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1479522120/q1byy7vwt9bxpj1tap7o.png)](https://goforward.com/)",,,,,,
Real Estate,[![Compass](https://static1.squarespace.com/static/516c687de4b00f416237be7e/t/560fed33e4b09e1a44ea7f0d/1443884340316/Compass-Real-Estate-RETech.png)](https://www.compass.com/),,,,,,,,,,,,,,,,,,,,,,,,[![Breather](http://www.almoffice.ca/wp-content/uploads/2015/10/breather-logo.jpg)](https://breather.com/),,,,,
Cooking,,,,,,,,,,,,,,[![LOGO](https://p5.zdassets.com/hc/theme_assets/253623/200041337/BA_logo-02_STACKED.png)](URL),,,,,,,,,,,,[![Nom](https://photos.prnewswire.com/prnvar/20160309/342306LOGO)](https://nom.com/),,,,
Food & Drink,[![Instacart](http://whatpixel.com/images/2016/01/instacart-logo-redesign-rebrand-2016.jpg)](https://www.instacart.com/),,,,,,,[![LOGO](http://zelkovavc.com/wp-content/uploads/2015/05/hungryroot-logo.png)](URL),,[![LOGO](https://res.cloudinary.com/crunchbase-production/image/upload/v1434990854/op8bt9wiknydlsjuiqj4.png)](URL),,,,,,,,,,,,,,,,,,,,
Restaurants & Delivery,,[![LOGO](https://pbs.twimg.com/profile_images/786149771283226624/8zsbj0DQ.jpg)](URL),,,,[![LOGO](http://s2.q4cdn.com/723557020/files/Grubhub-logo-inverted-251by107px@2x.png)](URL),,,,,,,,,,,,,,,,,,,[![Postmates](https://upload.wikimedia.org/wikipedia/en/1/15/Postmates_logo.png)](https://postmates.com/),,,,[![Deliveroo](http://uk.deliveroo.puzzlelondon.co.uk/blog/wp-content/uploads/sites/2/2016/09/PREFERRED-VERSION-Deliveroo-Logo_Full_CMYK_Teal_edit.png)](https://deliveroo.co.uk/),
Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[![Honor](http://photos.prnewswire.com/prn/20160808/396236LOGO/Honor-Senior-Care-Logo)](https://www.joinhonor.com/)
Weather,,,,,,,,,,,,,,,,[![LOGO](https://s-media-cache-ak0.pinimg.com/236x/28/20/03/2820030de815cf05349356e6ec499c2a.jpg)](URL),,,,[![The Climate Corporation](http://mms.businesswire.com/media/20160817005298/en/539840/5/TCC_Hex_4Color_LRG.jpg)](https://www.climate.com/),,,,,,,,,,
Careers & Hiring,,,,,,[![LOGO](https://s3.amazonaws.com/tdhq-company-logos/companies/logos/000/000/603/original/hired-light-padding-short.png?1470758499)](URL),,,,,,,,,,,,,,,,,,,,[![Glassdoor](https://press-content.glassdoor.com/app/uploads/sites/2/2015/04/GD-logo-green-on-white-01.jpg)](https://www.glassdoor.com/),,,,
Local Services,,[![LOGO](https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/ThumbtackLogo.svg/1280px-ThumbtackLogo.svg.png)](URL),,,,,,,,,,,,,,,,,,,,,,,[![Handy](http://core0.staticworld.net/images/article/2014/09/handy_logo-100435695-large.jpg)](https://www.handy.com/),,,,,
Faith & Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,[![LOGO](https://www.waze.com/assets/press/logo@2x-1fe7fea8f69b97707a15e0e5f336d422.png)](URL),,,,,,,,,[![Uber](http://static4.businessinsider.com/image/56b10e64c08a80431d8bc158-326-163/uber_logobit_digital_white.png)](https://www.uber.com/),,,[![Lyft](http://thepowershot.com/wp-content/uploads/2015/10/lyft-logo-facebook.jpg)](https://www.lyft.com/),,
Communication,,[![LOGO](http://ec2-50-19-249-57.compute-1.amazonaws.com/system/companies/158-logo-giphy_l.jpg?1400273381)](URL),[![LOGO](https://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/062015/whatsapp_logo.jpg?itok=0OJT0IcZ)](URL),,,,,,,,,,[![LOGO](http://www.logospike.com/wp-content/uploads/2014/11/Snapchat_logo.jpg)](URL),,[![LOGO](http://bostonvr.org/wp-content/uploads/2016/03/colorLogo-altspaceVR.png)](URL),,,,,,,,,,,,,[![Skype](https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Skype_logo.svg/2000px-Skype_logo.svg.png)](https://www.skype.com/),,
Beauty & Health,,,,,,[![LOGO](https://d1vwnfeb9fby91.cloudfront.net/public/tumblr_assets/img/StyleSeat.Logo.Web.png)](URL),,[![LOGO](http://maniacmagazine.com/wp-content/uploads/2016/05/glossier-logo.-maniac-magazine.jpg)](URL),,,,,,,,,,,,,[![Bevel](https://www.filepicker.io/api/file/fjgSxvpvSJiaLUkmMlFF)](https://getbevel.com/),,,,[![GLAMSQUAD](http://photos.prnewswire.com/prn/20151008/275456LOGO/GLAMSQUAD-LOGO)](https://www.glamsquad.com/),,,,,
Deals & Coupons,,,,,,,[![LOGO](https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Groupon_Logo.svg/2000px-Groupon_Logo.svg.png)](URL),,,,,,,,,,,,,,,,,,,,,,,
Dating,,,,,,,,,,,,,,,,[![LOGO](https://upload.wikimedia.org/wikipedia/en/d/d5/Tinder_logo.png)](URL),,,,,,,,,,,,,,
Gifting,,,,,,[![LOGO](https://d2o2wpn1drmies.cloudfront.net/avatars/429/eec/123/ce0/4c9/d83/f0f/489/a27/7c1/5e/Raise-Mint-Monkey-01-png.medium.png?1429807830)](URL),,,,,,,,,,,,,,,,,,,,,,,,
Blogging,,,,,,,,,,,,,,,,,,[![Medium](https://cdn-images-1.medium.com/max/800/1*5ztbgEt4NqpVaxTc64C-XA.png)](https://medium.com/),,,,,,,,,,,,
News,,,,,,,[![LOGO](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BuzzFeed.svg/2000px-BuzzFeed.svg.png)](URL),,,,,,,,,,,,,,,,,,,,,,,
Weddings,[![Zola](http://www-static.weddingbee.com/wp-content/uploads/2015/02/Zola-Logo-300x150.jpg)](https://www.zola.com/),,,[![LOGO](https://d1qb2nb5cznatu.cloudfront.net/startups/i/156611-0983b09853f96f288436593107d60d28-medium_jpg.jpg?buster=1390437410)](URL),,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,[![LOGO](http://168kuc2h8b8d20lvkb36obq9-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/1Password-Logo.jpg)](URL),,,,,,,,,,,,,,,,,,,,
Home,[![Nextdoor](https://nextdoor.com/static/nextdoorv2/images/newsroom/logo-green-large.png)](https://nextdoor.com/),[![LOGO](http://st.hzcdn.com/res/2469/pic/print_logo.png?v=2469)](URL),,,,,,[![LOGO](https://upload.wikimedia.org/wikipedia/commons/0/08/Casper_Logo.png)](URL),,,,,,[![LOGO](http://resources.point.com/wp-content/uploads/2016/05/cropped-512-logo-print-color.png)](URL),,,,,,,,,,,,,,,,[![Homepolish](https://www.homepolish.com/assets/homepolish_logo-c85e020ccc97927625589eac4ba0ecd5.png)](https://www.homepolish.com/)
